restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance
Serkan Hamza | Midye Balık Kokoreç,38.411718,27.03321,8.6,1.0,Seafood,0535 261 40 39,"Başak Sok No: 53, 35330 Balçova",183
Carême Restaurant,38.411444,27.031949,8.5,,Dining and Drinking,0850 755 8888,"İnciraltı Cad No:67, 35330 Balçova",213
Angel 35 Tekne Turu,38.411373,27.034349,8.0,3.0,Seafood,0555 396 99 51,"Müze Gemiler Yanı İnciraltı, İzmir",273
Brasserie Restaurant,38.41174,27.031932,6.7,2.0,Breakfast,(0224) 800 08 00,"Akpýnar Cad, No: 17, Demirci",178
Veli Usta Balık Pişiricisi,38.413158,27.030031,8.5,3.0,Seafood,(0232) 277 77 66,"İnciraltı Cad, 10 Sok, No: 179 / A, İnciraltı (İnciraltı), 35330 Balçova",386
Metin Kokoreç&Sucuk,38.413911,27.028378,8.0,,Kokoreç Restaurant,0536 962 83 57,"İnciraltı Sahil, İzmir",371
Gaziantepliler,38.409998,27.034289,8.1,,Kebab,(0232) 259 97 38,"İnciraltı Cad No:49, Balçova",400
Barış Kokoreç,38.413985,27.028201,7.7,1.0,Food Truck,,,386
Aslım Kokoreç,38.413687,27.028181,7.4,,Kokoreç Restaurant,,İzmir,370
Özdilek Cafe & Restaurant,38.410476,27.031376,6.7,2.0,Café,,"İnciraltı Cad No: 67, Balçova",357
Zaitun Seafood Restaurant,38.412842,27.015121,8.2,3.0,Seafood,,"Ulupınar Sok No18 Narlıdere (Gürler Caddesi), İzmir",216
İsmail Baba Mangal Ve Köy Kahvaltısı,38.408629,27.014746,6.6,2.0,Breakfast,,İzmir,320
Uğrak Mekân,38.411797,27.015894,,,Food Court,,"Gürler Cad Sarıkuş Sok Köşesi (gürler), 35320 İzmir",215
Güzelbahçe,38.409146,27.011237,,2.0,Café,,"Dünya Da Bir Yer, 35000 İzmir",316
Hanedan,38.408668,27.014586,,2.0,Café,,"Levent Cad Karatop Sok (Levent Caddesi), İzmir",317
Mavera Cafe&Restorant,38.408587,27.014857,,2.0,Café,,"Levent Cad Karatop Sok No:3 (Sahilevleri), İzmir",333
Casa De Costa,38.407873,27.007969,7.5,,Restaurant,0535 612 59 72,"Gürler Cad No: 208 Sahilevleri, Narlıdere",603
Eyüp'ün Yeri,38.407851,27.012722,,3.0,Seafood,,İzmir,398
Alev Ablanın Yeri,38.407944,27.009071,,2.0,Fast Food,,,541
Pavarotti Sea & More,38.408013,27.002906,8.9,3.0,Seafood,0532 413 29 59,"Gurler Cad No: 122/A (gürler caddesi), 35320 İzmir",985
Sahilevleri Barınak Cay Ocağı,38.406712,26.997051,8.8,2.0,Café,,Narlıdere,100
Mey-Zade,38.406218,26.997384,7.8,,Meyhane,,"Gürler Cad No:46, Narlıdere",106
